Block,alpha,target_feature,phi_color,phi_shape,a,r,cf_shape,cf_color,rpe,bandit_combo,displayed_stim,rep
3,0.686501914,square,0.238433577,0.761566423,0,1,square,yellow,0.256249891,4,"[2, 3, 7]",1
3,0.686501914,square,0.238433577,0.761566423,0,1,square,yellow,0.144220577,16,"[2, 3, 7]",1
3,0.686501914,square,0.238433577,0.761566423,1,0,square,blue,-0.868550798,3,"[1, 5, 6]",1
3,0.686501914,square,0.238433577,0.761566423,1,1,square,blue,0.511168972,15,"[1, 5, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,square,yellow,-0.1666667,4,"[2, 3, 7]",1
4,0.686501914,oval,0.238433577,0.761566423,1,0,square,blue,-0.100306732,1,"[0, 5, 7]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,circle,yellow,-0.160162028,7,"[0, 5, 7]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,oval,yellow,-0.15391122,3,"[1, 5, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,circle,yellow,-0.0841343,0,"[0, 4, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,1,0,square,blue,-0.056453858,15,"[1, 5, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,square,yellow,-0.015845052,17,"[2, 4, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,2,0,circle,orange,-0.069397741,11,"[2, 4, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,square,yellow,-0.00891779,5,"[2, 4, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,2,0,circle,orange,-0.039057899,9,"[1, 5, 6]",1
4,0.686501914,oval,0.238433577,0.761566423,0,1,oval,yellow,0.917626921,14,"[1, 3, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,0,0,oval,yellow,-0.483548329,8,"[1, 3, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,0,1,oval,yellow,0.727853077,2,"[1, 3, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,1,1,oval,blue,0.438098211,12,"[0, 4, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,1,1,oval,blue,0.246567039,6,"[0, 4, 8]",1
4,0.686501914,oval,0.238433577,0.761566423,2,1,oval,orange,0.163606836,13,"[0, 5, 7]",1
4,0.686501914,oval,0.238433577,0.761566423,2,1,oval,orange,0.092079931,10,"[2, 3, 7]",1
4,0.686501914,oval,0.238433577,0.761566423,2,0,oval,orange,-0.948176287,16,"[2, 3, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,1,1,circle,blue,0.8333333,8,"[1, 3, 8]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,circle,blue,-0.530989811,16,"[2, 3, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,1,1,oval,blue,0.7129523,6,"[0, 4, 8]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,oval,blue,-0.598741713,12,"[0, 4, 8]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,square,blue,-0.332521756,1,"[0, 5, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,oval,blue,-0.204582399,5,"[2, 4, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,1,0,square,blue,-0.105690846,13,"[0, 5, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,0,0,oval,yellow,-0.163139667,3,"[1, 5, 6]",1
5,0.686501914,blue,0.761566423,0.238433577,2,1,square,orange,0.850435873,2,"[1, 3, 8]",1
5,0.686501914,blue,0.761566423,0.238433577,2,1,oval,orange,0.504618039,10,"[2, 3, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,2,0,oval,orange,-0.715994787,4,"[2, 3, 7]",1
5,0.686501914,blue,0.761566423,0.238433577,2,1,square,orange,0.562797434,0,"[0, 4, 8]",1
